Wall time,Step,Value
1571055244.6131637,9,2.2373299598693848
1571055244.6740472,19,2.201725959777832
1571055244.7534392,29,2.1064512729644775
1571055244.8060353,39,2.062466859817505
1571055244.8826044,49,2.1720268726348877
1571055244.9420843,59,2.171325922012329
1571055245.0119402,69,2.0421361923217773
1571055245.0750208,79,1.9032703638076782
1571055245.1693292,89,2.0694196224212646
1571055245.313546,99,2.0584709644317627
1571055245.4517298,109,1.9788169860839844
1571055245.5894828,119,1.8931514024734497
1571055245.7270901,129,2.016116142272949
1571055245.843068,139,2.0075185298919678
1571055245.9663024,149,1.7527986764907837
1571055246.0621774,159,1.8259761333465576
1571055246.1347537,169,1.8343000411987305
1571055246.227047,179,1.8354219198226929
1571055246.3624425,189,1.813188910484314
1571055246.4925883,199,2.0066564083099365
1571055246.5939054,209,1.779854416847229
1571055246.6833098,219,1.76715886592865
1571055246.808626,229,1.7564572095870972
1571055246.9636192,239,1.6731410026550293
1571055247.0693934,249,1.782881736755371
1571055247.160301,259,1.7940083742141724
1571055247.2977147,269,1.8423924446105957
1571055247.4383132,279,1.8090856075286865
1571055247.5961347,289,1.665523886680603
1571055247.7492816,299,1.7198436260223389
1571055247.8545685,309,1.6185975074768066
1571055247.9366033,319,1.892311930656433
1571055248.0124002,329,1.5911191701889038
1571055248.0891569,339,1.6431846618652344
1571055248.141615,349,1.6616733074188232
1571055248.1959043,359,1.645071029663086
1571055248.2512577,369,1.848628282546997
1571055248.2993133,379,1.6928486824035645
1571055248.346814,389,1.7012883424758911
1571055249.5704951,399,1.6680431365966797
1571055249.6442413,409,1.6185976266860962
1571055249.7259033,419,1.5953588485717773
1571055249.798264,429,1.6325163841247559
1571055249.8699734,439,1.5850714445114136
1571055249.9189644,449,1.5886965990066528
1571055250.0235214,459,1.9315396547317505
1571055250.1348472,469,1.618927240371704
1571055250.219797,479,1.6123021841049194
1571055250.2970672,489,1.7677592039108276
1571055250.3630846,499,1.51448655128479
1571055250.4494066,509,1.6115517616271973
1571055250.515017,519,1.5525404214859009
1571055250.6372836,529,1.7575887441635132
1571055250.7274203,539,1.491255760192871
1571055250.859104,549,1.445510983467102
1571055250.9563298,559,1.6978545188903809
1571055251.1285765,569,1.7035894393920898
1571055251.2534342,579,1.627833604812622
1571055251.3652694,589,1.6201852560043335
1571055251.5034318,599,1.5960509777069092
1571055251.701961,609,1.57808256149292
1571055251.8045537,619,1.5246378183364868
1571055251.9582412,629,1.5096884965896606
1571055252.1206758,639,1.5997459888458252
1571055252.2926753,649,1.5702431201934814
1571055252.450688,659,1.6155776977539062
1571055252.7205744,669,1.621802568435669
1571055252.872851,679,1.4506959915161133
1571055253.0292711,689,1.5775361061096191
1571055253.1726286,699,1.517331838607788
1571055253.3298764,709,1.605409026145935
1571055253.4942596,719,1.4224086999893188
1571055253.6139467,729,1.500464677810669
1571055253.6716704,739,1.6565158367156982
1571055253.7240274,749,1.5248233079910278
1571055253.7852848,759,1.3530569076538086
1571055253.838228,769,1.5927455425262451
1571055253.885899,779,1.4322036504745483
1571055256.7359757,789,1.5543795824050903
1571055256.8474,799,1.4046574831008911
1571055257.017011,809,1.5164215564727783
1571055257.098617,819,1.429450511932373
1571055257.183676,829,1.4092447757720947
1571055257.2725887,839,1.3598484992980957
1571055257.3523815,849,1.5516468286514282
1571055257.4728503,859,1.3675687313079834
1571055257.6173754,869,1.6991384029388428
1571055257.7261343,879,1.3663480281829834
1571055257.8823647,889,1.4150514602661133
1571055258.0811396,899,1.6149784326553345
1571055258.2441216,909,1.3615753650665283
1571055258.3806314,919,1.4576802253723145
1571055258.5898697,929,1.4242607355117798
1571055258.7031586,939,1.630135416984558
1571055258.8119981,949,1.4291499853134155
1571055258.9497561,959,1.3189036846160889
1571055259.1130044,969,1.4834046363830566
1571055259.2676923,979,1.485987901687622
1571055259.3495445,989,1.4771642684936523
1571055259.4266365,999,1.479434847831726
1571055259.5166276,1009,1.4680014848709106
1571055259.6116369,1019,1.4983001947402954
1571055259.7116282,1029,1.4261682033538818
1571055259.7771103,1039,1.3838794231414795
1571055259.914895,1049,1.6383061408996582
1571055260.0595098,1059,1.3219743967056274
1571055260.179866,1069,1.4045147895812988
1571055260.372832,1079,1.7406086921691895
1571055260.4817834,1089,1.381163239479065
1571055260.589463,1099,1.3860297203063965
1571055260.7400637,1109,1.4747567176818848
1571055260.887786,1119,1.4615305662155151
1571055260.9371493,1129,1.4035965204238892
1571055260.9881995,1139,1.2151902914047241
1571055261.0436294,1149,1.4596576690673828
1571055261.0991056,1159,1.4909673929214478
1571055261.146463,1169,1.3352172374725342
1571055262.2496426,1179,1.3582485914230347
1571055262.3699713,1189,1.2165119647979736
1571055262.5058959,1199,1.6222809553146362
1571055262.5875251,1209,1.4063575267791748
1571055262.6788206,1219,1.4536125659942627
1571055262.7474523,1229,1.2971805334091187
1571055262.8312583,1239,1.3381586074829102
1571055262.9768875,1249,1.5465739965438843
1571055263.191985,1259,1.348057508468628
1571055263.3408363,1269,1.2739661931991577
1571055263.5316668,1279,1.3877123594284058
1571055263.68915,1289,1.3333022594451904
1571055263.7875857,1299,1.3655977249145508
1571055263.9535277,1309,1.3873599767684937
1571055264.1366217,1319,1.3302887678146362
1571055264.2950613,1329,1.2903249263763428
1571055264.5201616,1339,1.3533611297607422
1571055264.757853,1349,1.348463773727417
1571055264.9341977,1359,1.4589112997055054
1571055265.169814,1369,1.3149590492248535
1571055265.4266734,1379,1.3330538272857666
1571055265.6133912,1389,1.3620245456695557
1571055265.8220344,1399,1.3990775346755981
1571055266.0039017,1409,1.3798041343688965
1571055266.189826,1419,1.430634617805481
1571055266.3710678,1429,1.2874749898910522
1571055266.5720024,1439,1.4374051094055176
1571055266.741008,1449,1.3709781169891357
1571055266.9459937,1459,1.4875092506408691
1571055267.150886,1469,1.2152773141860962
1571055267.40293,1479,1.319987177848816
1571055267.6489222,1489,1.2663202285766602
1571055267.8874462,1499,1.3998267650604248
1571055268.0556984,1509,1.118274211883545
1571055268.1970596,1519,1.1113073825836182
1571055268.306277,1529,1.4149717092514038
1571055268.4227226,1539,1.5145307779312134
1571055268.5311825,1549,1.3127167224884033
1571055268.6596577,1559,1.3871703147888184
1571055272.3998258,1569,1.2742308378219604
1571055272.5940008,1579,1.353847861289978
1571055272.9123735,1589,1.2470760345458984
1571055273.0264049,1599,1.2174012660980225
1571055273.119182,1609,1.3669679164886475
1571055273.2852743,1619,1.2017439603805542
1571055273.386717,1629,1.4184125661849976
1571055273.5136268,1639,1.428981065750122
1571055273.5945408,1649,1.4244372844696045
1571055273.7740529,1659,1.3343697786331177
1571055273.9901454,1669,1.2032688856124878
1571055274.177336,1679,1.401237964630127
1571055274.4197567,1689,1.3647559881210327
1571055274.6110613,1699,1.4187867641448975
1571055274.758687,1709,1.2260757684707642
1571055274.974763,1719,1.2077133655548096
1571055275.1481757,1729,1.1931077241897583
1571055275.2970643,1739,1.25027334690094
1571055275.434133,1749,1.3086602687835693
1571055275.5312154,1759,1.3308918476104736
1571055275.6584425,1769,1.2172396183013916
1571055275.7758353,1779,1.3368202447891235
1571055275.9067676,1789,1.2475402355194092
